College Name,NameKey,QuotaCanon,CategoryBase,IsPwD,Year,RoundTag
C0003,C0003,AIQ,OBC,N,2025,2025_R1
C0003,C0003,AIQ,General,N,2025,2025_R1
C0003,C0003,AIQ,OBC,N,2025,2025_R1
C0003,C0003,AIQ,EWS,N,2025,2025_R1
C0003,C0003,AIQ,General,N,2025,2025_R1
C0003,C0003,AIQ,SC,N,2025,2025_R1
C0003,C0003,AIQ,ST,N,2025,2025_R1
C0003,C0003,Central,OBC,N,2025,2025_R1
C0003,C0003,Central,EWS,N,2025,2025_R1
C0003,C0003,Central,General,N,2025,2025_R1
C0003,C0003,Central,SC,N,2025,2025_R1
C0003,C0003,Central,ST,N,2025,2025_R1
C0004,C0004,Central,OBC,N,2025,2025_R1
C0004,C0004,Central,EWS,N,2025,2025_R1
C0004,C0004,Central,General,N,2025,2025_R1
C0004,C0004,Central,SC,N,2025,2025_R1
C0004,C0004,Central,ST,N,2025,2025_R1
C0004,C0004,Central,OBC,N,2025,2025_R1
C0004,C0004,Central,General,N,2025,2025_R1
C0004,C0004,Central,SC,N,2025,2025_R1
C0004,C0004,Central,SC,Y,2025,2025_R1
C0004,C0004,Central,ST,N,2025,2025_R1
C0005,C0005,Central,OBC,N,2025,2025_R1
C0005,C0005,Central,EWS,N,2025,2025_R1
C0005,C0005,Central,General,N,2025,2025_R1
C0005,C0005,Central,SC,N,2025,2025_R1
C0005,C0005,Central,ST,N,2025,2025_R1
C0006,C0006,Central,OBC,N,2025,2025_R1
C0006,C0006,Central,EWS,N,2025,2025_R1
C0006,C0006,Central,General,N,2025,2025_R1
C0006,C0006,Central,SC,N,2025,2025_R1
C0006,C0006,Central,ST,N,2025,2025_R1
C0007,C0007,Central,OBC,N,2025,2025_R1
C0007,C0007,Central,EWS,N,2025,2025_R1
C0007,C0007,Central,General,N,2025,2025_R1
C0007,C0007,Central,SC,N,2025,2025_R1
C0007,C0007,Central,ST,N,2025,2025_R1
C0008,C0008,AIQ,General,N,2025,2025_R1
C0010,C0010,AIQ,General,N,2025,2025_R1
C0010,C0010,AIQ,General,N,2025,2025_R1
C0011,C0011,AIQ,General,N,2025,2025_R1
C0011,C0011,AIQ,General,N,2025,2025_R1
C0012,C0012,AIQ,General,N,2025,2025_R1
C0013,C0013,AIQ,General,N,2025,2025_R1
C0013,C0013,Management,General,N,2025,2025_R1
C0014,C0014,AIQ,General,N,2025,2025_R1
C0014,C0014,AIQ,General,N,2025,2025_R1
C0015,C0015,AIQ,General,N,2025,2025_R1
C0015,C0015,AIQ,General,N,2025,2025_R1
C0016,C0016,AIQ,General,N,2025,2025_R1
C0016,C0016,AIQ,General,N,2025,2025_R1
C0017,C0017,AIQ,General,N,2025,2025_R1
C0017,C0017,AIQ,General,N,2025,2025_R1
C0018,C0018,AIQ,General,N,2025,2025_R1
C0019,C0019,AIQ,General,N,2025,2025_R1
C0020,C0020,AIQ,General,N,2025,2025_R1
C0020,C0020,AIQ,General,N,2025,2025_R1
C0021,C0021,AIQ,General,N,2025,2025_R1
C0021,C0021,AIQ,General,N,2025,2025_R1
C0022,C0022,AIQ,General,N,2025,2025_R1
C0023,C0023,AIQ,General,N,2025,2025_R1
C0023,C0023,AIQ,General,N,2025,2025_R1
C0023,C0023,Central,General,N,2025,2025_R1
C0024,C0024,AIQ,General,N,2025,2025_R1
C0025,C0025,AIQ,General,N,2025,2025_R1
C0026,C0026,AIQ,General,N,2025,2025_R1
C0027,C0027,AIQ,General,N,2025,2025_R1
C0028,C0028,AIQ,General,N,2025,2025_R1
C0029,C0029,AIQ,General,N,2025,2025_R1
C0030,C0030,AIQ,General,N,2025,2025_R1
C0031,C0031,AIQ,General,N,2025,2025_R1
C0032,C0032,AIQ,General,N,2025,2025_R1
C0032,C0032,AIQ,General,N,2025,2025_R1
C0032,C0032,Central,General,N,2025,2025_R1
C0033,C0033,AIQ,General,N,2025,2025_R1
C0035,C0035,Central,General,N,2025,2025_R1
C0039,C0039,AIQ,General,N,2025,2025_R1
C0041,C0041,AIQ,General,N,2025,2025_R1
C0041,C0041,AIQ,General,N,2025,2025_R1
C0042,C0042,AIQ,General,N,2025,2025_R1
C0044,C0044,AIQ,General,N,2025,2025_R1
C0045,C0045,AIQ,General,N,2025,2025_R1
C0046,C0046,Central,General,N,2025,2025_R1
C0046,C0046,AIQ,General,N,2025,2025_R1
C0047,C0047,AIQ,General,N,2025,2025_R1
C0048,C0048,AIQ,General,N,2025,2025_R1
C0049,C0049,AIQ,General,N,2025,2025_R1
C0050,C0050,AIQ,General,N,2025,2025_R1
C0051,C0051,AIQ,General,N,2025,2025_R1
C0051,C0051,Management,General,N,2025,2025_R1
C0052,C0052,AIQ,General,N,2025,2025_R1
C0054,C0054,AIQ,General,N,2025,2025_R1
C0056,C0056,AIQ,General,N,2025,2025_R1
C0057,C0057,AIQ,General,N,2025,2025_R1
C0058,C0058,AIQ,General,N,2025,2025_R1
C0059,C0059,AIQ,General,N,2025,2025_R1
C0060,C0060,AIQ,General,N,2025,2025_R1
C0061,C0061,AIQ,General,N,2025,2025_R1
C0062,C0062,AIQ,General,N,2025,2025_R1
C0063,C0063,Management,General,N,2025,2025_R1
C0063,C0063,AIQ,General,N,2025,2025_R1
C0063,C0063,Management,General,N,2025,2025_R1
C0064,C0064,AIQ,General,N,2025,2025_R1
C0090,C0090,Management,General,N,2025,2025_R1
C0096,C0096,AIQ,OBC,N,2025,2025_R1
C0096,C0096,AIQ,EWS,N,2025,2025_R1
C0096,C0096,AIQ,General,N,2025,2025_R1
C0096,C0096,AIQ,SC,N,2025,2025_R1
C0096,C0096,AIQ,ST,N,2025,2025_R1
C0103,C0103,AIQ,OBC,N,2025,2025_R1
C0103,C0103,AIQ,EWS,N,2025,2025_R1
C0103,C0103,AIQ,General,N,2025,2025_R1
C0103,C0103,AIQ,SC,N,2025,2025_R1
C0103,C0103,AIQ,ST,N,2025,2025_R1
C0122,C0122,Central,OBC,N,2025,2025_R1
C0122,C0122,Central,EWS,N,2025,2025_R1
C0122,C0122,Central,General,N,2025,2025_R1
C0122,C0122,Central,SC,N,2025,2025_R1
C0122,C0122,Central,ST,N,2025,2025_R1
C0131,C0131,AIQ,OBC,N,2025,2025_R1
C0131,C0131,AIQ,EWS,N,2025,2025_R1
C0131,C0131,AIQ,General,N,2025,2025_R1
C0131,C0131,AIQ,SC,N,2025,2025_R1
C0131,C0131,AIQ,ST,N,2025,2025_R1
C0142,C0142,Management,General,N,2025,2025_R1
C0230,C0230,Management,General,N,2025,2025_R1
C0284,C0284,AIQ,OBC,N,2025,2025_R1
C0284,C0284,AIQ,EWS,N,2025,2025_R1
C0284,C0284,AIQ,General,N,2025,2025_R1
C0284,C0284,AIQ,SC,N,2025,2025_R1
C0284,C0284,AIQ,ST,N,2025,2025_R1
C0307,C0307,AIQ,EWS,N,2025,2025_R1
C0332,C0332,AIQ,EWS,N,2025,2025_R1
C0363,C0363,AIQ,EWS,N,2025,2025_R1
C0464,C0464,AIQ,EWS,N,2025,2025_R1
C0469,C0469,AIQ,EWS,N,2025,2025_R1
